iter	Passed	Remaining
0	155	155128
1	173	86331
2	191	63674
3	209	52103
4	227	45235
5	244	40468
6	260	37000
7	278	34526
8	296	32673
9	312	30971
10	329	29596
11	345	28479
12	363	27572
13	380	26765
14	396	26053
15	413	25459
16	432	25026
17	450	24551
18	466	24097
19	482	23662
20	499	23271
21	515	22900
22	531	22578
23	547	22270
24	564	22006
25	580	21744
26	596	21483
27	613	21306
28	631	21139
29	647	20927
30	664	20760
31	679	20565
32	695	20387
33	712	20239
34	730	20138
35	745	19970
36	762	19839
37	777	19692
38	800	19719
39	816	19599
40	835	19538
41	851	19411
42	867	19302
43	883	19187
44	899	19080
45	915	18982
46	932	18906
47	949	18833
48	971	18848
49	988	18785
50	1007	18738
51	1023	18659
52	1044	18662
53	1064	18654
54	1081	18586
55	1099	18535
56	1114	18443
57	1132	18395
58	1148	18324
59	1164	18242
60	1182	18196
61	1199	18154
62	1219	18132
63	1236	18082
64	1256	18068
65	1274	18037
66	1289	17963
67	1307	17920
68	1324	17869
69	1341	17818
70	1357	17759
71	1375	17725
72	1391	17670
73	1408	17628
74	1426	17591
75	1444	17566
76	1466	17572
77	1483	17533
78	1500	17488
79	1517	17452
80	1533	17399
81	1550	17356
82	1566	17304
83	1582	17254
84	1599	17215
85	1614	17162
86	1630	17107
87	1646	17059
88	1662	17012
89	1678	16976
90	1696	16950
91	1713	16907
92	1729	16866
93	1746	16830
94	1764	16809
95	1780	16767
96	1797	16734
97	1814	16701
98	1831	16666
99	1848	16637
100	1864	16595
101	1880	16557
102	1897	16529
103	1913	16488
104	1929	16445
105	1945	16406
106	1961	16372
107	1978	16342
108	1995	16313
109	2013	16293
110	2030	16266
111	2047	16236
112	2065	16209
113	2082	16182
114	2098	16146
115	2116	16130
116	2133	16103
117	2150	16072
118	2168	16051
119	2185	16023
120	2201	15994
121	2218	15964
122	2236	15943
123	2253	15923
124	2270	15892
125	2286	15863
126	2303	15834
127	2320	15805
128	2336	15778
129	2352	15746
130	2369	15721
131	2385	15689
132	2401	15652
133	2417	15622
134	2435	15603
135	2451	15575
136	2468	15550
137	2486	15528
138	2505	15520
139	2522	15492
140	2539	15473
141	2556	15445
142	2574	15427
143	2591	15404
144	2609	15387
145	2627	15366
146	2646	15354
147	2664	15337
148	2682	15319
149	2699	15297
150	2717	15277
151	2735	15258
152	2753	15241
153	2770	15220
154	2788	15203
155	2805	15181
156	2823	15161
157	2841	15142
158	2859	15126
159	2877	15107
160	2895	15088
161	2911	15060
162	2931	15053
163	2949	15037
164	2968	15020
165	2986	15004
166	3004	14987
167	3024	14977
168	3041	14955
169	3058	14934
170	3075	14911
171	3091	14884
172	3108	14859
173	3126	14840
174	3143	14820
175	3161	14800
176	3177	14775
177	3193	14746
178	3210	14725
179	3228	14706
